GEOID,dist_type,store_rowid_p,dist,row,duration,mb_rank
13063040426,D2,9,23333.45168785312,3702,25.284,MB2
13063040426,D3,10,23923.131654204764,3703,30.747233333333334,MB3
13063040426,D4,8,27972.75722555925,3704,31.133666666666667,MB4
13063040426,D5,72,32929.34872630784,3705,35.55833333333333,MB5
13063040427,D1,54,20966.230551823468,4776,27.271283333333333,MB1
13063040427,D3,9,25235.650996309912,4778,27.326583333333335,MB2
13063040427,D4,8,29614.727971799915,4779,32.97481666666667,MB3
13063040427,D2,10,25205.46729684287,4777,33.341433333333335,MB4
13063040427,D5,38,31209.391709050276,4780,43.12021666666667,MB5
13063040509,D1,54,9014.395178651012,4866,16.131866666666667,MB1
13063040509,D2,9,9519.913688156876,4867,16.3185,MB2
13063040509,D3,8,21917.538244149462,4868,24.716450000000002,MB3
13063040509,D4,10,22570.047387134815,4869,29.334349999999997,MB4
13063040509,D5,53,33080.38916245855,4870,41.21485,MB5
13063040510,D1,54,9180.594078436778,4871,14.9134,MB1
13063040510,D2,9,11241.533555144071,4872,14.968716666666667,MB2
