services,store_url,store_name,stradd,city,state,lat,long
Adult Beverage,https://www.familydollar.com/locations/ga/warner-robins/24580/,FAMILY DOLLAR #4580,1000 Russell Pkwy,Warner Robins,GA,32.594397,-83.643045
Tobaco,https://www.familydollar.com/locations/ga/warrenton/24293/,FAMILY DOLLAR #4293,1156 Legion Dr,Warrenton,GA,33.401741,-82.667458
Adult Beverage,https://www.familydollar.com/locations/ga/warrenton/24293/,FAMILY DOLLAR #4293,1156 Legion Dr,Warrenton,GA,33.401741,-82.667458
Tobaco,https://www.familydollar.com/locations/ga/watkinsville/28137/,FAMILY DOLLAR #8137,2061 Hog Mountain Road,Watkinsville,GA,33.873749,-83.438825
Tobaco,https://www.familydollar.com/locations/ga/waycross/20694/,FAMILY DOLLAR #694,578 State St,Waycross,GA,31.21847,-82.357752
Tobaco,https://www.familydollar.com/locations/ga/waycross/29115/,FAMILY DOLLAR #9115,2000 South Georgia Parkway Wes,Waycross,GA,31.20947887,-82.38919748
Adult Beverage,https://www.familydollar.com/locations/ga/waycross/29115/,FAMILY DOLLAR #9115,2000 South Georgia Parkway Wes,Waycross,GA,31.20947887,-82.38919748
Tobaco,https://www.familydollar.com/locations/ga/waynesboro/20117/,FAMILY DOLLAR #117,110 E 7th St,Waynesboro,GA,33.09146867,-82.01611454
Adult Beverage,https://www.familydollar.com/locations/ga/waynesboro/20117/,FAMILY DOLLAR #117,110 E 7th St,Waynesboro,GA,33.09146867,-82.01611454
Tobaco,https://www.familydollar.com/locations/ga/winder/20105/,FAMILY DOLLAR #105,208 N Broad St #G,Winder,GA,33.998932,-83.712805
Tobaco,https://www.familydollar.com/locations/ga/wrightsville/21047/,FAMILY DOLLAR #1047,212 W Trilby St,Wrightsville,GA,32.732077,-82.721924
Adult Beverage,https://www.familydollar.com/locations/ga/wrightsville/21047/,FAMILY DOLLAR #1047,212 W Trilby St,Wrightsville,GA,32.732077,-82.721924
