store_url,state,address,city,city_url,store_id,lat,long,Amerigas,Western Union,Cart Calculator,DG Finds,FedEX,Rug Doctor,Redbox,Fresh Produce,DG Delivery,Random Audit Message,DG Market/pOpshelf
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/ambrose/17406,ga,4193 Vickers Crossing,ambrose,"Ambrose, GA 31512-3075",17406,31.5933,-83.0145,1,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/americus/10940,ga,805 Adderton St,americus,"Americus, GA 31719-2905",10940,32.085316,-84.244056,1,1,1,1,0,0,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/americus/2123,ga,103 W Jefferson St,americus,"Americus, GA 31709-3521",2123,32.073982,-84.2328,0,1,1,1,0,0,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/americus/4165,ga,1412 E Forsyth St,americus,"Americus, GA 31709-3808",4165,32.073963,-84.21494,0,1,1,1,0,0,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/arabi/19880,ga,3985 Bedgood Ave,arabi,"Arabi, GA 31712-3678",19880,31.834,-83.7408,1,1,1,0,0,0,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/aragon/8075,ga,42 New Prospect Rd,aragon,"Aragon, GA 30104-0235",8075,34.042621,-85.060113,1,1,1,1,1,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/arlington/11968,ga,17139 S Highland Ave,arlington,"Arlington, GA 39813",11968,31.432898,-84.724035,1,1,1,1,0,0,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/ashburn/4021,ga,155 W Washington Ave,ashburn,"Ashburn, GA 31714-5222",4021,31.705094,-83.653747,1,1,1,1,0,0,0,1,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/13517,ga,2411 Jefferson Rd Ste B,athens,"Athens, GA 30607-1202",13517,33.972715,-83.414675,1,1,1,1,0,1,0,1,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/13858,ga,800 Danielsville Rd,athens,"Athens, GA 30601-1406",13858,33.982622,-83.360491,1,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/15295,ga,2194 Lexington Road,athens,"Athens, GA 30605-2338",15295,33.944573,-83.340738,1,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/15280,ga,880 Whitehall Road,athens,"Athens, GA 30605-4223",15280,33.899362,-83.364743,1,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/3547,ga,1225 Cedar Shoals Rd,athens,"Athens, GA 30605-3164",3547,33.9257,-83.3336,0,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/14048,ga,1125 West Broad Street,athens,"Athens, GA 30606-3049",14048,33.953976,-83.39109,1,1,1,1,0,0,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/17447,ga,125 Hwy 330,athens,"Athens, GA 30607",17447,34.0156,-83.4928,0,1,1,1,1,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/athens/9147,ga,11325 Commerce Hwy,athens,"Athens, GA 30607-4321",9147,34.0319,-83.4015,1,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/atlanta/19083,ga,8775 Roswell Rd,atlanta,"Atlanta, GA 30350-1842",19083,33.99757,-84.350712,0,1,1,1,0,1,0,0,0,0,0
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/atlanta/19082,ga,807 Cascade Sw,atlanta,"Atlanta, GA 30310-2413",19082,33.73385,-84.4372,1,1,1,1,0,1,0,0,0,0,0
