store_url,store_name,store_num,state,stradd,city,lat,long,class,Tobaco,Adult Beverage,Propane,Fresh Produce
https://www.familydollar.com/locations/ga/savannah/28642/,FAMILY DOLLAR #8642,8642,GA,1064 King George Blvd,Savannah,31.9846,-81.221046,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/savannah/28738/,FAMILY DOLLAR #8738,8738,GA,3107 Montgomery Ave,Savannah,32.04991762,-81.1081047,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/savannah/29019/,FAMILY DOLLAR #9019,9019,GA,610 Martin Luther King Blvd,Savannah,32.0702899,-81.10074082,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/savannah/29157/,FAMILY DOLLAR #9157,9157,GA,702 W Oglethorpe Avenue,Savannah,32.07961345,-81.10115409,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/scottdale/31635/,FAMILY DOLLAR #11635,11635,GA,3460 E Ponce De Leon Avenue,Scottdale,33.79581216,-84.26280318,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/screven/29429/,FAMILY DOLLAR #9429,9429,GA,101 Broadhurst Road,Screven,31.486259,-82.016868,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/smyrna/23075/,FAMILY DOLLAR #3075,3075,GA,3791 S Cobb Dr Se Ste H,Smyrna,33.861594,-84.517291,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/smyrna/23143/,FAMILY DOLLAR #3143,3143,GA,2500 Cobb Dr Se Ste F,Smyrna,33.89135,-84.539459,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/smyrna/27527/,FAMILY DOLLAR #7527,7527,GA,2393 Spring Rd Se,Smyrna,33.88402,-84.48454,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/snellville/31178/,FAMILY DOLLAR #11178,11178,GA,3193 Stone Mountain Highway,Snellville,33.85210891,-84.04385708,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/snellville/32308/,FAMILY DOLLAR #12308,12308,GA,3295 Hwy 124,Snellville,33.8134012,-84.04238703,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/sparta/21936/,FAMILY DOLLAR #1936,1936,GA,602 Spring St,Sparta,33.274905,-82.974882,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/springfield/23064/,FAMILY DOLLAR #3064,3064,GA,809 S Laurel St,Springfield,32.361344,-81.305198,hideitY,1,1,1,1
https://www.familydollar.com/locations/ga/statesboro/30436/,FAMILY DOLLAR #10436,10436,GA,20 Veterans Plaza,Statesboro,32.417135,-81.802364,hideitY,1,1,1,1
https://www.familydollar.com/locations/ga/statesboro/20383/,FAMILY DOLLAR #383,383,GA,2538 Northside Drive W,Statesboro,32.455868,-81.78768,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/stonecrest/32488/,FAMILY DOLLAR #12488,12488,GA,3332 Snapfinger Road,Stonecrest,33.6848,-84.19905,hideitY,0,0,1,0
https://www.familydollar.com/locations/ga/stone-mountain/30681/,FAMILY DOLLAR #10681,10681,GA,4615 Rockbridge Road,Stone Mountain,33.785969,-84.204799,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/stone-mountain/22602/,FAMILY DOLLAR #2602,2602,GA,4812c Redan Rd,Stone Mountain,33.762958,-84.194867,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/stone-mountain/27203/,FAMILY DOLLAR #7203,7203,GA,7184 Rockbridge Rd,Stone Mountain,33.785826,-84.103736,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/stone-mountain/27459/,FAMILY DOLLAR #7459,7459,GA,6130 Memorial Drive,Stone Mountain,33.805206,-84.18964,hideitY,1,0,1,1
https://www.familydollar.com/locations/ga/stone-mountain/28168/,FAMILY DOLLAR #8168,8168,GA,4104 Redan Rd,Stone Mountain,33.764813,-84.222033,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/summerville/20178/,FAMILY DOLLAR #178,178,GA,10205 Commerce Street,Summerville,34.48352,-85.346756,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/swainsboro/20183/,FAMILY DOLLAR #183,183,GA,501 South Main St,Swainsboro,32.586308,-82.32191,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/sylvania/20226/,FAMILY DOLLAR #226,226,GA,311 W Ogeechee St,Sylvania,32.749018,-81.638505,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/tallapoosa/22053/,FAMILY DOLLAR #2053,2053,GA,6 Robertson Ave,Tallapoosa,33.745035,-85.289519,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/thomaston/20324/,FAMILY DOLLAR #324,324,GA,532 N Center St,Thomaston,32.896675,-84.326538,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/thomasville/26132/,FAMILY DOLLAR #6132,6132,GA,718 W Jackson St,Thomasville,30.829129,-83.986526,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/thomasville/29020/,FAMILY DOLLAR #9020,9020,GA,2004 Smith Avenue,Thomasville,30.83449127,-83.94895975,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/thomson/20160/,FAMILY DOLLAR #160,160,GA,675 Main St,Thomson,33.482581,-82.506829,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/thomson/23694/,FAMILY DOLLAR #3694,3694,GA,324 W Hill St,Thomson,33.462085,-82.506761,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/tifton/20384/,FAMILY DOLLAR #384,384,GA,614 Love Ave,Tifton,31.458946,-83.508485,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/tifton/25729/,FAMILY DOLLAR #5729,5729,GA,409 7th St W,Tifton,31.451825,-83.5189,hideitY,1,0,1,0
https://www.familydollar.com/locations/ga/toccoa/20107/,FAMILY DOLLAR #107,107,GA,35 Glendale Drive,Toccoa,34.573892,-83.31098,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/tucker/22394/,FAMILY DOLLAR #2394,2394,GA,3201 Tucker Norcross Rd Ste B2,Tucker,33.88413,-84.21911,hideitY,1,0,0,0
https://www.familydollar.com/locations/ga/tucker/25607/,FAMILY DOLLAR #5607,5607,GA,3855 Lawrenceville Hwy,Tucker,33.848111,-84.224123,hideitY,1,0,0,0
